TEAM_ID,TEAM_NAME,BASE_GP,BASE_W,BASE_L,BASE_W_PCT,BASE_MIN,BASE_FGM,BASE_FGA,BASE_FG_PCT,BASE_FG3M,BASE_FG3A,BASE_FG3_PCT,BASE_FTM,BASE_FTA,BASE_FT_PCT,BASE_OREB,BASE_DREB,BASE_REB,BASE_AST,BASE_TOV,BASE_STL,BASE_BLK,BASE_BLKA,BASE_PF,BASE_PFD,BASE_PTS,BASE_PLUS_MINUS,BASE_GP_RANK,BASE_W_RANK,BASE_L_RANK,BASE_W_PCT_RANK,BASE_MIN_RANK,BASE_FGM_RANK,BASE_FGA_RANK,BASE_FG_PCT_RANK,BASE_FG3M_RANK,BASE_FG3A_RANK,BASE_FG3_PCT_RANK,BASE_FTM_RANK,BASE_FTA_RANK,BASE_FT_PCT_RANK,BASE_OREB_RANK,BASE_DREB_RANK,BASE_REB_RANK,BASE_AST_RANK,BASE_TOV_RANK,BASE_STL_RANK,BASE_BLK_RANK,BASE_BLKA_RANK,BASE_PF_RANK,BASE_PFD_RANK,BASE_PTS_RANK,BASE_PLUS_MINUS_RANK,ADV_GP,ADV_W,ADV_L,ADV_W_PCT,ADV_MIN,ADV_E_OFF_RATING,ADV_OFF_RATING,ADV_E_DEF_RATING,ADV_DEF_RATING,ADV_E_NET_RATING,ADV_NET_RATING,ADV_AST_PCT,ADV_AST_TO,ADV_AST_RATIO,ADV_OREB_PCT,ADV_DREB_PCT,ADV_REB_PCT,ADV_TM_TOV_PCT,ADV_EFG_PCT,ADV_TS_PCT,ADV_E_PACE,ADV_PACE,ADV_PACE_PER40,ADV_POSS,ADV_PIE,ADV_GP_RANK,ADV_W_RANK,ADV_L_RANK,ADV_W_PCT_RANK,ADV_MIN_RANK,ADV_OFF_RATING_RANK,ADV_DEF_RATING_RANK,ADV_NET_RATING_RANK,ADV_AST_PCT_RANK,ADV_AST_TO_RANK,ADV_AST_RATIO_RANK,ADV_OREB_PCT_RANK,ADV_DREB_PCT_RANK,ADV_REB_PCT_RANK,ADV_TM_TOV_PCT_RANK,ADV_EFG_PCT_RANK,ADV_TS_PCT_RANK,ADV_PACE_RANK,ADV_PIE_RANK,REFRESHED_AT,MASTER_BUILT_AT
1610612737,Atlanta Hawks,25,14,11,0.56,48.4,43.4,89.6,0.485,14.0,37.8,0.369,17.2,21.9,0.785,9.9,31.8,41.8,30.8,15.2,9.6,5.0,4.4,20.6,19.4,118.0,1.6,1,11,15,15,13,5,16,9,9,13,9,25,26,18,25,20,25,1,17,4,12,14,11,25,11,16,25,14,11,0.56,1210.0,112.9,114.8,111.1,113.3,1.9,1.5,0.709,2.02,21.0,0.275,0.68,0.482,0.148,0.563,0.595,103.8,101.99,84.99,2571,0.515,1,11,15,15,3,15,10,16,2,6,1,24,22,26,17,6,7,6,13,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612738,Boston Celtics,24,15,9,0.625,48.0,43.3,91.6,0.473,16.0,43.3,0.369,14.6,18.6,0.787,13.0,30.8,43.8,24.7,11.8,8.4,5.5,4.4,22.8,18.9,117.3,6.7,8,7,8,8,27,6,3,13,1,3,10,30,30,17,5,26,18,26,1,15,7,15,27,28,16,5,24,15,9,0.625,1152.0,119.0,122.0,111.7,114.8,7.3,7.2,0.569,2.1,18.0,0.333,0.663,0.497,0.122,0.56,0.588,98.8,96.21,80.17,2306,0.524,8,7,8,8,20,2,17,5,30,3,18,7,29,18,1,8,10,30,9,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612751,Brooklyn Nets,23,6,17,0.261,48.0,37.8,85.0,0.445,14.0,41.2,0.341,19.7,25.3,0.779,11.2,28.6,39.8,25.3,15.8,7.0,4.2,4.2,20.5,21.4,109.4,-7.8,21,25,24,25,27,30,28,28,8,5,26,18,13,21,17,30,29,21,23,27,24,7,10,15,30,26,23,6,17,0.261,1104.0,108.6,112.3,117.3,119.8,-8.6,-7.6,0.67,1.61,18.3,0.31,0.674,0.484,0.162,0.528,0.569,100.4,97.65,81.38,2242,0.446,21,25,24,25,26,23,27,26,7,24,14,15,27,25,29,24,23,28,28,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612766,Charlotte Hornets,24,7,17,0.292,48.4,40.0,88.4,0.453,13.8,40.3,0.342,20.3,24.7,0.824,11.7,33.0,44.6,25.3,16.0,6.9,5.0,4.1,19.0,21.7,114.2,-4.1,8,24,24,24,9,26,20,25,12,7,23,12,17,4,14,10,14,23,24,30,13,5,1,13,21,21,24,7,17,0.292,1162.0,110.2,113.5,115.9,117.5,-5.7,-4.0,0.632,1.58,17.7,0.338,0.729,0.529,0.159,0.531,0.575,101.9,99.78,83.15,2415,0.48,8,24,24,24,9,18,24,22,12,27,22,6,2,2,25,21,21,24,22,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612741,Chicago Bulls,23,9,14,0.391,48.4,42.1,90.3,0.466,14.0,38.1,0.366,19.1,24.1,0.791,10.5,35.0,45.5,28.4,15.5,8.0,4.8,6.3,20.3,20.0,117.3,-5.3,21,20,19,20,8,15,8,17,10,10,12,20,20,15,22,3,7,7,18,23,15,30,8,22,15,24,23,9,14,0.391,1114.0,110.7,111.9,115.5,117.3,-4.8,-5.5,0.675,1.83,19.3,0.279,0.705,0.495,0.148,0.544,0.581,105.1,103.73,86.45,2412,0.483,21,20,19,20,23,24,23,24,6,12,8,23,7,19,15,15,17,2,20,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612739,Cleveland Cavaliers,25,14,11,0.56,48.2,42.4,92.2,0.459,15.1,44.0,0.343,18.8,24.6,0.763,12.7,32.1,44.8,26.8,14.0,8.9,5.6,4.2,21.6,21.8,118.6,3.2,1,11,15,15,24,11,2,20,5,1,22,23,19,25,8,17,11,11,6,9,5,9,20,12,9,11,25,14,11,0.56,1205.0,113.7,115.9,110.4,113.0,3.3,3.0,0.632,1.92,18.4,0.313,0.691,0.498,0.136,0.541,0.575,104.0,101.8,84.83,2557,0.509,1,11,15,15,5,10,9,11,11,8,13,14,14,16,6,17,20,9,14,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612742,Dallas Mavericks,25,9,16,0.36,48.6,40.4,88.2,0.458,11.7,34.4,0.341,19.3,25.6,0.756,10.0,34.0,44.0,24.8,15.6,8.2,5.8,5.1,20.6,21.7,111.8,-4.3,1,20,23,22,5,25,22,21,25,22,25,19,12,26,24,5,16,25,20,19,4,19,11,14,26,22,25,9,16,0.36,1215.0,106.5,108.6,110.3,112.3,-3.8,-3.7,0.613,1.59,17.5,0.268,0.687,0.481,0.151,0.524,0.562,103.8,101.93,84.94,2575,0.483,1,20,23,22,1,29,7,21,19,25,26,27,19,27,19,26,26,7,19,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612743,Denver Nuggets,23,17,6,0.739,48.2,45.1,87.9,0.513,13.6,34.3,0.397,21.2,25.6,0.827,10.9,33.9,44.8,29.4,13.5,7.0,4.0,4.2,19.3,22.2,125.0,8.7,21,3,3,3,15,1,24,1,14,23,3,6,11,3,18,6,12,5,4,27,25,7,2,8,1,3,23,17,6,0.739,1109.0,122.8,124.0,114.0,115.4,8.8,8.6,0.652,2.18,20.4,0.314,0.715,0.526,0.134,0.591,0.63,101.5,100.37,83.64,2319,0.551,21,3,3,3,24,1,18,3,9,1,2,13,3,3,4,1,1,21,3,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612765,Detroit Pistons,24,19,5,0.792,48.2,43.0,89.2,0.482,11.2,31.7,0.354,21.6,28.9,0.747,13.7,33.1,46.8,26.1,16.1,9.5,6.0,5.0,23.0,23.6,118.7,5.5,8,2,2,2,17,9,17,10,27,28,19,5,2,29,4,8,2,14,27,5,2,18,30,2,8,6,24,19,5,0.792,1157.0,113.8,116.7,109.0,111.3,4.8,5.4,0.608,1.62,17.9,0.359,0.689,0.525,0.158,0.545,0.583,103.6,101.29,84.41,2441,0.538,8,2,2,2,13,9,4,6,21,21,19,2,17,4,23,14,14,12,4,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612744,Golden State Warriors,25,13,12,0.52,48.2,39.4,87.7,0.449,15.9,43.8,0.364,18.8,23.0,0.819,11.3,32.2,43.5,27.4,16.0,9.7,4.4,4.0,20.7,18.8,113.5,1.8,1,16,17,17,24,28,25,26,2,2,15,21,24,5,16,16,19,8,26,3,20,4,14,29,23,15,25,13,12,0.52,1205.0,110.6,112.7,108.8,110.7,1.9,2.0,0.696,1.71,19.2,0.3,0.671,0.486,0.159,0.54,0.58,102.2,100.38,83.65,2517,0.504,1,16,17,17,5,22,3,15,4,18,9,19,28,21,26,18,18,20,15,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612745,Houston Rockets,21,15,6,0.714,48.7,44.1,90.5,0.487,11.8,29.6,0.399,20.9,26.4,0.792,16.1,32.7,48.8,25.3,16.0,9.3,5.4,4.9,20.2,22.3,120.9,10.6,30,7,3,5,3,4,7,5,24,30,2,8,8,14,1,12,1,22,24,6,8,17,6,5,4,2,21,15,6,0.714,1023.0,118.5,121.4,108.9,110.7,9.6,10.8,0.575,1.58,17.5,0.408,0.693,0.553,0.161,0.553,0.592,100.1,98.16,81.8,2091,0.56,30,7,3,5,30,4,2,2,29,26,25,1,11,1,28,10,9,27,2,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612754,Indiana Pacers,24,6,18,0.25,48.4,39.2,90.2,0.434,12.1,36.4,0.332,20.8,26.9,0.775,11.9,32.0,44.0,23.5,14.4,7.4,5.6,4.6,22.9,22.3,111.3,-7.6,8,25,26,26,9,29,11,30,22,18,29,9,6,23,12,18,17,30,8,26,6,16,29,6,29,25,24,6,18,0.25,1162.0,106.5,108.6,114.0,116.0,-7.4,-7.4,0.599,1.63,16.6,0.299,0.685,0.484,0.14,0.501,0.545,103.5,101.56,84.63,2458,0.458,8,25,26,26,9,28,19,25,26,20,30,20,20,24,8,30,30,10,26,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612746,LA Clippers,24,6,18,0.25,48.4,39.6,84.5,0.469,12.5,35.5,0.352,19.9,23.8,0.836,9.7,31.5,41.2,23.6,15.5,8.6,4.4,4.3,20.2,20.1,111.6,-5.2,8,25,26,26,12,27,29,15,21,20,20,15,22,1,26,23,26,29,19,12,19,12,5,21,27,23,24,6,18,0.25,1162.0,110.7,113.4,116.4,118.6,-5.6,-5.2,0.596,1.52,17.4,0.288,0.692,0.494,0.158,0.543,0.588,99.7,97.57,81.31,2362,0.474,8,25,26,26,12,19,25,23,27,29,27,22,12,20,22,16,11,29,23,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612747,Los Angeles Lakers,23,17,6,0.739,48.0,41.9,82.6,0.507,11.9,33.2,0.358,22.6,28.3,0.798,9.4,31.6,41.0,25.2,15.7,8.1,3.9,3.7,19.3,22.6,118.3,2.2,21,3,3,3,27,16,30,2,23,24,17,3,4,12,27,22,27,24,21,21,27,1,2,4,10,14,23,17,6,0.739,1104.0,116.8,118.3,114.1,116.2,2.7,2.0,0.601,1.61,18.2,0.298,0.696,0.507,0.156,0.579,0.622,101.5,99.98,83.32,2301,0.517,21,3,3,3,26,6,21,14,25,23,17,21,10,12,21,3,2,22,11,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612763,Memphis Grizzlies,24,11,13,0.458,48.2,40.5,90.3,0.449,12.8,38.0,0.336,19.8,24.7,0.804,11.8,34.8,46.5,28.7,15.1,7.7,4.6,5.3,20.4,21.2,113.6,-1.7,8,18,18,18,17,23,9,27,20,11,28,16,17,9,13,4,3,6,15,25,18,23,9,17,22,18,24,11,13,0.458,1157.0,108.8,111.5,111.6,113.4,-2.8,-1.9,0.709,1.9,19.6,0.315,0.729,0.517,0.148,0.519,0.562,103.4,101.33,84.44,2445,0.499,8,18,18,18,13,25,12,18,3,9,6,12,1,7,16,27,27,11,18,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612748,Miami Heat,24,14,10,0.583,48.2,44.5,92.7,0.48,13.1,35.0,0.374,20.3,25.9,0.784,10.5,35.2,45.7,29.6,14.3,8.8,4.7,5.2,20.0,20.6,122.3,4.0,8,11,10,11,17,2,1,11,19,21,6,14,9,19,23,2,6,2,7,11,17,22,4,19,3,10,24,14,10,0.583,1157.0,113.3,115.4,108.8,111.8,4.5,3.5,0.666,2.07,19.8,0.275,0.675,0.484,0.135,0.55,0.587,107.9,105.42,87.85,2544,0.527,8,11,10,11,13,13,6,10,8,4,4,25,26,23,5,12,12,1,7,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612749,Milwaukee Bucks,25,10,15,0.4,48.4,42.3,86.2,0.491,15.5,37.9,0.409,15.0,21.0,0.714,8.3,31.1,39.4,27.0,14.7,8.2,4.4,4.2,21.9,19.3,115.1,-2.9,1,19,20,19,13,13,27,4,3,12,1,29,29,30,30,24,30,10,12,19,20,9,21,27,20,19,25,10,15,0.4,1210.0,113.0,114.3,114.5,117.0,-1.5,-2.7,0.638,1.83,19.4,0.251,0.678,0.468,0.146,0.581,0.603,101.6,99.89,83.24,2516,0.482,1,19,20,19,3,16,22,19,10,11,7,30,25,28,14,2,5,23,21,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612750,Minnesota Timberwolves,24,15,9,0.625,48.4,42.3,87.2,0.486,14.3,37.5,0.383,20.6,26.6,0.776,10.9,32.5,43.3,26.5,15.1,8.1,5.0,3.8,22.4,22.3,119.6,4.9,8,7,8,8,9,12,26,8,7,14,4,10,7,22,19,13,20,13,16,22,13,3,24,7,6,7,24,15,9,0.625,1162.0,116.0,117.9,110.9,113.4,5.1,4.5,0.626,1.75,18.6,0.309,0.692,0.504,0.149,0.568,0.605,102.4,100.44,83.7,2435,0.525,8,7,8,8,9,8,13,7,14,16,12,16,13,13,18,5,4,19,8,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612740,New Orleans Pelicans,25,3,22,0.12,48.6,41.1,89.8,0.458,11.0,31.8,0.347,19.8,25.3,0.78,12.4,29.6,42.0,24.4,14.7,9.0,3.5,6.2,20.8,21.0,113.0,-10.6,1,29,30,30,5,21,13,22,29,26,21,17,14,20,9,29,24,28,12,7,30,28,16,18,24,29,25,3,22,0.12,1215.0,109.4,110.6,119.4,120.7,-9.9,-10.1,0.592,1.65,17.1,0.306,0.683,0.486,0.144,0.519,0.56,102.2,101.08,84.23,2555,0.446,1,29,30,30,1,26,28,28,28,19,28,17,21,22,11,28,28,14,29,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612752,New York Knicks,23,16,7,0.696,48.0,43.3,91.3,0.474,15.4,41.0,0.375,18.8,23.3,0.807,13.8,32.2,46.0,27.3,13.3,8.3,4.3,4.2,20.7,20.5,120.7,8.3,21,5,6,6,27,7,5,12,4,6,5,22,23,8,3,15,4,9,3,17,22,11,15,20,5,4,23,16,7,0.696,1104.0,119.5,121.7,110.8,113.5,8.7,8.2,0.63,2.06,19.0,0.34,0.713,0.524,0.134,0.558,0.594,101.2,99.11,82.59,2281,0.538,21,5,6,6,26,3,14,4,13,5,10,5,5,5,3,9,8,26,5,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612760,Oklahoma City Thunder,24,23,1,0.958,48.8,44.1,88.8,0.497,13.9,37.1,0.374,20.9,25.2,0.83,9.0,35.7,44.7,26.5,12.6,10.0,5.3,3.7,21.1,22.1,123.0,16.2,8,1,1,1,2,3,18,3,11,16,7,7,15,2,29,1,13,12,2,2,9,2,18,10,2,1,24,23,1,0.958,1172.0,118.9,120.0,102.6,104.1,16.3,15.9,0.602,2.11,18.9,0.252,0.713,0.498,0.123,0.575,0.616,102.0,100.87,84.06,2461,0.593,8,1,1,1,8,5,1,1,24,2,11,29,6,17,2,4,3,15,1,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612753,Orlando Magic,24,14,10,0.583,48.2,41.5,88.3,0.47,11.2,32.9,0.341,23.7,29.7,0.798,12.0,33.0,45.0,25.4,14.4,8.5,5.3,5.4,21.1,23.3,117.8,4.3,8,11,10,11,17,19,21,14,27,25,27,1,1,10,11,9,9,19,9,13,10,24,18,3,12,9,24,14,10,0.583,1157.0,113.5,115.7,109.5,111.8,4.1,3.9,0.613,1.76,17.7,0.33,0.714,0.52,0.142,0.533,0.581,103.3,101.29,84.41,2444,0.528,8,11,10,11,13,11,5,8,18,14,23,8,4,6,9,20,16,12,6,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612755,Philadelphia 76ers,23,13,10,0.565,48.9,41.6,91.2,0.456,13.5,37.3,0.362,20.3,24.9,0.815,12.2,32.7,44.9,25.5,14.7,8.2,6.1,5.2,21.0,21.2,116.9,0.8,21,16,10,14,1,18,6,23,15,15,16,13,16,7,10,11,10,18,11,18,1,21,17,16,17,17,23,13,10,0.565,1124.0,111.8,114.3,111.1,113.5,0.6,0.8,0.614,1.74,17.7,0.321,0.69,0.504,0.143,0.53,0.572,102.7,100.46,83.72,2352,0.499,21,16,10,14,21,17,15,17,17,17,24,10,16,14,10,22,22,18,17,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612756,Phoenix Suns,24,14,10,0.583,48.2,42.2,90.2,0.467,14.6,39.7,0.368,17.0,21.5,0.79,12.8,29.7,42.5,25.4,15.7,10.8,4.0,4.3,22.6,19.8,115.9,2.4,8,11,10,11,17,14,10,16,6,8,11,27,28,16,6,28,22,19,22,1,26,13,26,24,19,13,24,14,10,0.583,1157.0,113.1,115.5,111.1,113.4,2.0,2.1,0.603,1.62,17.8,0.343,0.688,0.509,0.156,0.548,0.581,101.9,99.78,83.15,2408,0.5,8,11,10,11,13,12,11,13,23,22,21,4,18,10,20,13,15,25,16,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612757,Portland Trail Blazers,24,9,15,0.375,48.2,40.5,91.5,0.442,13.8,41.7,0.33,22.7,28.5,0.798,14.8,31.0,45.8,24.6,17.0,8.3,5.1,6.2,22.8,24.4,117.4,-3.3,8,20,20,21,17,24,4,29,13,4,30,2,3,11,2,25,5,27,30,16,11,29,27,1,14,20,24,9,15,0.375,1157.0,110.4,113.3,114.4,116.2,-4.0,-2.9,0.609,1.45,16.7,0.355,0.679,0.51,0.164,0.517,0.564,105.4,103.28,86.07,2487,0.469,8,20,20,21,13,20,20,20,20,30,29,3,23,9,30,29,25,3,24,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612758,Sacramento Kings,24,6,18,0.25,48.2,41.8,89.7,0.466,10.9,30.7,0.354,17.0,22.7,0.752,9.4,30.6,40.0,25.8,14.0,8.9,3.8,5.2,20.3,19.3,111.4,-10.6,8,25,26,26,17,17,14,18,30,29,18,26,25,27,28,27,28,16,5,8,28,20,7,26,28,28,24,6,18,0.25,1157.0,106.9,109.0,117.1,119.1,-10.1,-10.1,0.617,1.84,18.3,0.26,0.679,0.464,0.137,0.526,0.559,103.8,101.89,84.91,2453,0.447,8,25,26,26,13,27,26,29,16,10,16,28,24,30,7,25,29,8,27,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612759,San Antonio Spurs,23,16,7,0.696,48.2,42.8,88.1,0.486,13.4,36.7,0.366,20.6,25.8,0.796,11.5,33.1,44.6,26.0,14.8,8.5,4.7,4.1,20.7,22.0,119.6,4.3,21,5,6,6,15,10,23,7,16,17,13,11,10,13,15,7,15,15,14,14,16,6,13,11,7,8,23,16,7,0.696,1109.0,116.4,118.2,111.5,114.4,4.9,3.8,0.607,1.76,18.3,0.316,0.704,0.513,0.146,0.562,0.601,102.6,100.48,83.73,2326,0.521,21,5,6,6,24,7,16,9,22,15,15,11,8,8,13,7,6,16,10,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612761,Toronto Raptors,25,15,10,0.6,48.2,43.2,88.7,0.486,11.6,31.7,0.365,18.5,24.0,0.77,10.6,31.9,42.6,29.5,14.6,8.9,4.2,5.9,22.0,19.9,116.4,2.6,1,7,10,10,26,8,19,6,26,27,14,24,21,24,21,19,21,4,10,9,23,26,22,23,18,12,25,15,10,0.6,1205.0,112.7,115.3,111.0,112.8,1.6,2.6,0.683,2.01,20.3,0.305,0.69,0.499,0.145,0.552,0.586,102.4,100.46,83.72,2522,0.515,1,7,10,10,7,14,8,12,5,7,3,18,15,15,12,11,13,17,12,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612762,Utah Jazz,23,8,15,0.348,48.7,41.0,90.0,0.455,13.4,39.3,0.342,22.3,27.3,0.815,12.7,32.4,45.1,29.5,16.5,7.8,3.5,5.6,22.4,22.1,117.6,-8.2,21,23,20,23,4,22,12,24,16,9,24,4,5,6,7,14,8,3,28,24,29,25,25,9,13,27,23,8,15,0.348,1119.0,111.1,112.8,118.8,120.8,-7.8,-7.9,0.721,1.79,19.7,0.322,0.7,0.507,0.159,0.529,0.576,104.5,102.8,85.67,2397,0.466,21,23,20,23,22,21,29,27,1,13,5,9,9,11,24,23,19,4,25,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
1610612764,Washington Wizards,22,3,19,0.136,48.5,41.4,89.6,0.462,13.3,35.9,0.37,16.3,21.7,0.751,10.7,31.7,42.4,25.5,16.6,7.0,5.8,6.0,22.1,18.0,112.4,-15.9,29,29,29,29,7,20,15,19,18,19,8,28,27,28,20,21,23,17,29,29,3,27,23,30,25,30,22,3,19,0.136,1066.0,106.9,108.3,121.4,123.8,-14.5,-15.6,0.617,1.54,17.9,0.272,0.659,0.465,0.16,0.536,0.567,104.4,102.73,85.61,2284,0.418,29,29,29,29,29,30,30,30,15,28,20,26,30,29,27,19,24,5,30,2025-12-09T10:23:05.895511+00:00,2025-12-09T10:24:05.110829+00:00
